Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Heinsberg (Kreis)	Nordrhein-Westfalen	255555	3694	103	14454	403	19.4	80.6	24.5
Oberbergischer Kreis (Kreis)	Nordrhein-Westfalen	272057	2620	30	9630	110	14.4	74.2	
Rheinisch-Bergischer Kreis (Kreis)	Nordrhein-Westfalen	283271	2772	28	9785	98	17.0	80.9	
Rhein-Sieg-Kreis (Kreis)	Nordrhein-Westfalen	600764	6184	73	10293	121	9.8	74.4	
Bottrop (Kreisfreie Stadt)	Nordrhein-Westfalen	117565	1325	11	11270	93	14.8	59.3	
Gelsenkirchen (Kreisfreie Stadt)	Nordrhein-Westfalen	259645	4017	26	15471	100	16.8	74.8	
Münster (Kreisfreie Stadt)	Nordrhein-Westfalen	315293	2536	21	8043	66	10.5	85.4	
Borken (Kreis)	Nordrhein-Westfalen	371339	3750	62	10098	166	5.5	64.4	44.5
Coesfeld (Kreis)	Nordrhein-Westfalen	220586	1777	26	8055	117	0.0	63.9	
Recklinghausen (Kreis)	Nordrhein-Westfalen	614137	7772	71	12655	115	11.2	80.3	
Steinfurt (Kreis)	Nordrhein-Westfalen	448220	4147	106	9252	236	7.5	72.6	
Warendorf (Kreis)	Nordrhein-Westfalen	277840	3045	26	10959	93	21.7	78.3	
Bielefeld (Kreisfreie Stadt)	Nordrhein-Westfalen	334195	3271	16	9787	47	19.7	77.5	
Gütersloh (Kreis)	Nordrhein-Westfalen	364938	5821	32	15950	87	27.1	70.8	
Herford (Kreis)	Nordrhein-Westfalen	250578	2597	26	10364	103	8.8	79.4	
Höxter (Kreis)	Nordrhein-Westfalen	140251	1026	20	7315	142	18.4	61.2	
Lippe (Kreis)	Nordrhein-Westfalen	347514	3274	37	9421	106	10.4	68.8	19.0
Minden-Lübbecke (Kreis)	Nordrhein-Westfalen	310409	3043	22	9803	70	5.8	87.2	
Paderborn (Kreis)	Nordrhein-Westfalen	307839	2227	56	7234	181	9.2	82.6	36.7
Bochum (Kreisfreie Stadt)	Nordrhein-Westfalen	365587	4104	41	11225	112	9.2	78.3	
Dortmund (Kreisfreie Stadt)	Nordrhein-Westfalen	588250	7117	45	12098	76	10.4	81.2	
Hagen (Kreisfreie Stadt)	Nordrhein-Westfalen	188686	2764	32	14648	169	23.3	76.7	
Hamm (Kreisfreie Stadt)	Nordrhein-Westfalen	179916	2719	45	15112	250	6.9	53.9	49.2
Herne (Kreisfreie Stadt)	Nordrhein-Westfalen	156449	2612	21	16695	134	22.7	77.3	47.9
Ennepe-Ruhr-Kreis (Kreis)	Nordrhein-Westfalen	324106	3066	48	9459	148	4.9	82.1	
Hochsauerlandkreis (Kreis)	Nordrhein-Westfalen	259777	2543	32	9789	123	7.1	61.4	44.3
Märkischer Kreis (Kreis)	Nordrhein-Westfalen	410222	3900	40	9507	97	20.0	77.4	
Olpe (Kreis)	Nordrhein-Westfalen	133955	1655	64	12354	477	0.0	11.1	
Siegen-Wittgenstein (Kreis)	Nordrhein-Westfalen	276944	2157	9	7788	32	3.6	79.3	21.0
Soest (Kreis)	Nordrhein-Westfalen	301785	1598	16	5295	53	15.9	80.5	30.1
Unna (Kreis)	Nordrhein-Westfalen	394891	4810	66	12180	167	23.5	87.8	
Darmstadt (Kreisfreie Stadt)	Hessen	159878	1675	26	10476	162	13.0	75.0	
Frankfurt am Main (Kreisfreie Stadt)	Hessen	763380	12728	156	16673	204	18.5	87.9	
Offenbach am Main (Kreisfreie Stadt)	Hessen	130280	2328	20	17869	153	13.1	83.2	27.1
Wiesbaden (Kreisfreie Stadt)	Hessen	278474	3835	37	13771	132	24.5	78.7	
Bergstraße (Landkreis)	Hessen	270340	2216	21	8197	77	10.0	67.5	
Darmstadt-Dieburg (Landkreis)	Hessen	297844	2658	35	8924	117	30.4	91.3	
Groß-Gerau (Landkreis)	Hessen	275726	3692	41	13390	148	32.0	92.0	
Hochtaunuskreis (Landkreis)	Hessen	236914	2107	29	8893	122	30.8	100.0	12.8
Main-Kinzig-Kreis (Landkreis)	Hessen	420552	4671	65	11106	154	13.1	72.6	19.5
Main-Taunus-Kreis (Landkreis)	Hessen	238558	2432	31	10194	129	21.7	82.6	
Odenwaldkreis (Landkreis)	Hessen	96703	1087	72	11240	744	3.3	88.5	
Offenbach (Landkreis)	Hessen	355813	4681	86	13155	241	37.1	74.3	49.8
Rheingau-Taunus-Kreis (Landkreis)	Hessen	187160	1779	10	9505	53	35.3	70.6	23.0
Wetteraukreis (Landkreis)	Hessen	308339	2262	26	7336	84	13.8	85.1	53.3
Gießen (Landkreis)	Hessen	270688	2525	10	9328	36	10.8	77.6	
Lahn-Dill-Kreis (Landkreis)	Hessen	253319	2150	26	8487	102	6.2	70.3	
Limburg-Weilburg (Landkreis)	Hessen	171912	1487	14	8649	81	17.3	76.9	
Marburg-Biedenkopf (Landkreis)	Hessen	247084	2785	24	11271	97	8.1	82.6	
Vogelsbergkreis (Landkreis)	Hessen	105643	490	7	4638	66	13.8	58.6	
Kassel (Kreisfreie Stadt)	Hessen	202137	1935	19	9572	93	10.4	87.2	
Fulda (Landkreis)	Hessen	223145	1689	18	7569	80	10.8	82.8	29.2
Hersfeld-Rotenburg (Landkreis)	Hessen	120719	778	27	6444	223	14.3	89.8	33.5
Kassel (Landkreis)	Hessen	236764	1586	36	6698	152	6.7	70.0	36.8
Schwalm-Eder-Kreis (Landkreis)	Hessen	179673	1398	44	7780	244	10.0	53.3	22.1
Waldeck-Frankenberg (Landkreis)	Hessen	156406	977	9	6246	57	5.6	65.6	
Werra-Meißner-Kreis (Landkreis)	Hessen	100629	552	16	5485	159	5.6	50.0	
Koblenz (Kreisfreie Stadt)	Rheinland-Pfalz	114052	1039	25	9109	219	10.2	70.3	
Ahrweiler (Landkreis)	Rheinland-Pfalz	130086	1079	13	8294	99	11.1	66.7	
Altenkirchen (Westerwald) (Landkreis)	Rheinland-Pfalz	128805	893	15	6932	116	6.2	75.0	
Bad Kreuznach (Landkreis)	Rheinland-Pfalz	158345	1029	9	6498	56	9.1	58.2	21.7
Birkenfeld (Landkreis)	Rheinland-Pfalz	80951	710	5	8770	61	28.6	57.1	
Cochem-Zell (Landkreis)	Rheinland-Pfalz	61375	532	1	8668	16	7.7	38.5	15.9
Mayen-Koblenz (Landkreis)	Rheinland-Pfalz	214434	1489	21	6943	97	5.3	52.6	19.4
Neuwied (Landkreis)	Rheinland-Pfalz	182811	1547	7	8462	38	5.1	65.4	31.7
Rhein-Hunsrück-Kreis (Landkreis)	Rheinland-Pfalz	103163	686	6	6649	58	0.0	50.0	
Rhein-Lahn-Kreis (Landkreis)	Rheinland-Pfalz	122297	629	7	5143	57	7.9	78.9	
Westerwaldkreis (Landkreis)	Rheinland-Pfalz	201904	1498	26	7419	128	8.1	78.4	
Trier (Kreisfreie Stadt)	Rheinland-Pfalz	111528	757	1	6787	8	4.5	66.7	
Bernkastel-Wittlich (Landkreis)	Rheinland-Pfalz	112483	932	14	8285	124	7.7	50.0	
Eifelkreis Bitburg-Prüm (Landkreis)	Rheinland-Pfalz	99058	1033	6	10428	60	0.0	35.7	
Vulkaneifel (Landkreis)	Rheinland-Pfalz	60646	500	8	8244	131	14.3	61.9	7.7
Trier-Saarburg (Landkreis)	Rheinland-Pfalz	149398	1077	12	7208	80	0.0	64.3	
Frankenthal (Pfalz) (Kreisfreie Stadt)	Rheinland-Pfalz	48762	338	2	6931	41	20.0	80.0	
Kaiserslautern (Kreisfreie Stadt)	Rheinland-Pfalz	100030	917	8	9167	79	9.0	60.9	
Landau in der Pfalz (Kreisfreie Stadt)	Rheinland-Pfalz	46881	265	2	5652	42	3.4	51.7	
Ludwigshafen am Rhein (Kreisfreie Stadt)	Rheinland-Pfalz	172253	2015	11	11697	63	14.3	76.5	8.6
Mainz (Kreisfreie Stadt)	Rheinland-Pfalz	218578	2992	33	13688	150	15.9	89.4	44.1
Neustadt an der Weinstraße (Kreisfreie Stadt)	Rheinland-Pfalz	53264	350	2	6571	37	0.0	86.7	
Pirmasens (Kreisfreie Stadt)	Rheinland-Pfalz	40231	152	0	3778	0	6.2	81.2	
Speyer (Kreisfreie Stadt)	Rheinland-Pfalz	50561	522	1	10324	19	6.0	54.0	5.7
Worms (Kreisfreie Stadt)	Rheinland-Pfalz	83542	667	8	7984	95	6.5	69.6	
Zweibrücken (Kreisfreie Stadt)	Rheinland-Pfalz	34193	180	2	5264	58	0.0	42.9	
Alzey-Worms (Landkreis)	Rheinland-Pfalz	129687	1054	13	8127	100	14.3	71.4	15.5
Bad Dürkheim (Landkreis)	Rheinland-Pfalz	132671	973	21	7333	158	17.6	70.6	38.4
Donnersbergkreis (Landkreis)	Rheinland-Pfalz	75325	508	10	6744	132	0.0	41.7	9.0
Germersheim (Landkreis)	Rheinland-Pfalz	129013	1194	18	9254	139	10.3	48.3	
Kaiserslautern (Landkreis)	Rheinland-Pfalz	105979	1031	3	9728	28	28.6	42.9	20.9
Kusel (Landkreis)	Rheinland-Pfalz	70219	650	7	9256	99	18.8	81.2	36.9
Südliche Weinstraße (Landkreis)	Rheinland-Pfalz	110521	690	5	6243	45	0.0	76.9	21.9
Rhein-Pfalz-Kreis (Landkreis)	Rheinland-Pfalz	154609	1124	6	7269	38			6.9
Mainz-Bingen (Landkreis)	Rheinland-Pfalz	211417	1887	39	8925	184	45.5	81.8	30.8
Südwestpfalz (Landkreis)	Rheinland-Pfalz	94831	520	3	5483	31	11.1	33.3	
Stuttgart (Stadtkreis)	Baden-Württemberg	635911	8140	92	12800	144	14.2	79.9	
Böblingen (Landkreis)	Baden-Württemberg	392807	5097	68	12975	173	21.8	83.6	
Esslingen (Landkreis)	Baden-Württemberg	535024	6870	143	12840	267	20.9	75.6	
